skill_id,skill_content,skill_title,skill_description,agents,services,actions
25,Code to do the task..,WAN Install Connectivity Basic,Basic skills and knowledge required for installing and configuring Wide Area Network (WAN) connectivity.,Network Agent,WAN,Install|Configure
26,Code to do the task..,New Windows Physical Server,Provisioning and configuring a new physical server running Windows operating system.,Server Agent,Windows Server,Create
27,Code to do the task..,AH SharePoint Shared,Managing and sharing resources and documents using SharePoint.,CloudOps Agent,SharePoint,Create|Manage|Share
28,Code to do the task..,DNS Domain Management,"Manage the lifecycle of DNS domains including adding, changing, and deleting domain records.",Network Agent,DNS,Add|Change|Delete
29,Code to do the task..,Create/Change/Remove SSO Application,"Manage Single Sign-On (SSO) applications by creating new applications, changing existing configurations, or removing applications as needed.",ITSM Agent,SSO application,Create|Change|Remove
30,Code to do the task..,Database Dedicated - Oracle,"Expertise in managing and optimizing dedicated Oracle database environments, ensuring high availability, performance tuning, and security compliance.",DB Agent,Oracle Database,Manage|Optimize|Secure
31,Code to do the task..,WAN Install Connectivity Standard,Establishing and maintaining standards for the installation and connectivity of Wide Area Network (WAN) systems to ensure reliable and efficient communication across multiple locations.,Network Agent,WAN,Create|Establish|Maintain
32,Code to do the task..,WAN Soft Change In Connectivity,Managing and implementing soft changes in Wide Area Network (WAN) connectivity to ensure seamless communication and data transfer across different locations.,Network Agent,WAN,Change
33,Code to do the task..,API Resource Server Protection,Implementing security measures to protect API resources from unauthorized access and attacks.,CloudOps Agent,API,Create
34,Code to do the task..,Socks Proxy Configuration Management,"Manage the addition, modification, and deletion of socks-proxy configurations for network services.",Network Agent,socks-proxy,Add|Change|Delete
35,Code to do the task..,Application Deployment,Deploying a new version of the application that exceeds the previously agreed deployments outlined in the application roadmap.,CloudOps Agent,application,Deploy
36,Code to do the task..,PDN Dual,PDN Dual refers to a dual Public Data Network configuration that allows for enhanced connectivity and redundancy in network services.,Network Agent,network,Create|Configure
37,Code to do the task..,Backup/Restore Database On Demand - MSSQL,"This skill involves the ability to perform on-demand backup and restoration of Microsoft SQL Server databases, ensuring data integrity and availability.",DB Agent,MSSQL Database,Backup|Restore
38,Code to do the task..,New Database Hotel - Oracle [FastTrack],Creating a new Oracle database for a hotel management system using FastTrack methodology.,DB Agent,Oracle Database,Create
39,Code to do the task..,New Linux Physical Server,Provisioning and configuring a new physical server running Linux operating system.,Server Agent,Linux Server,Create
40,Code to do the task..,Change a WSS Application,Modifying the configuration or settings of a WSS (Windows SharePoint Services) application to meet specific requirements or improve functionality.,ITSM Agent,WSS Application,Change
41,Code to do the task..,Telephony Manager / Assistant configuration,Configuring telephony systems and managing telecommunication services to ensure efficient communication within an organization.,ITSM Agent,telephony system,Configure
42,Code to do the task..,Modify UNIX Virtual Server,"This skill involves making changes to a UNIX virtual server, which may include configuration adjustments, resource allocation, and performance tuning.",CloudOps Agent,UNIX Virtual Server,Modify
43,Code to do the task..,IMACD of Industrial LAN,"IMACD (Install, Move, Add, Change, Delete) processes for managing Industrial Local Area Networks (LAN) to ensure efficient network operations and maintenance.",Network Agent,Industrial LAN,Add|Move|Change|Delete
44,Code to do the task..,IMACD of Loadbalancing HW components,"IMACD (Installation, Maintenance, Acquisition, Configuration, and Decommissioning) process for Loadbalancing Hardware components to ensure optimal performance and reliability in network traffic distribution.",Network Agent,Loadbalancer,Install|Maintain|Acquire|Configure|Decommission
45,Code to do the task..,Remove Windows Physical Server [FastTrack],This skill involves the removal of a Windows physical server as part of the FastTrack process.,ITSM Agent,Windows Physical Server,Delete
46,Code to do the task..,Remove Container Registry Project [FastTrack],This skill involves the removal of a specific container registry project named 'FastTrack'.,CloudOps Agent,Container Registry,Delete
47,Code to do the task..,Set up standard remote support,"Establishing a standard procedure for providing remote support to users, ensuring efficient troubleshooting and assistance.",ITSM Agent,remote support system,Create
48,Code to do the task..,WAN Deinstallation,"The process of removing or decommissioning a Wide Area Network (WAN) setup, including the disconnection of devices and services associated with the WAN.",Network Agent,WAN,Delete
49,Code to do the task..,Create a WSS Application,"This skill involves the creation of a Web Services Security (WSS) application, which is used to secure web services by providing integrity and confidentiality through various security protocols.",CloudOps Agent,WSS Application,Create
50,Code to do the task..,DMZ Management,Managing the Demilitarized Zone (DMZ) for enhanced security and network segmentation.,Network Agent,DMZ,Add|Change|Delete
51,Code to do the task..,AOM Runtime Extra Hours Support,Providing additional support hours for AOM Runtime services.,ITSM Agent,AOM Runtime,Add
52,Code to do the task..,Knowledge Transfer to Runtime Operation,Facilitating the transfer of knowledge and best practices from the development phase to the operational phase to ensure smooth runtime operations.,ITSM Agent,runtime operations,Transfer
53,Code to do the task..,Limited Internet Breakout MACD,This skill involves managing and optimizing limited internet breakout scenarios using the MACD (Moving Average Convergence Divergence) indicator for network performance analysis.,Network Agent,internet breakout,Monitor|Optimize
54,Code to do the task..,Modify Application Server IIS Dedicated [FastTrack],This skill involves modifying the settings and configurations of a dedicated IIS (Internet Information Services) application server to optimize performance and ensure proper functionality.,DB Agent,IIS Application Server,Modify
55,Code to do the task..,MyPlace Site Management,"Managing the creation, modification, and removal of complete sites within the MyPlace platform.",ITSM Agent,site,Add|Change|Remove
56,Code to do the task..,New Container Application Platform Project [FastTrack],A project aimed at developing a new container application platform to streamline application deployment and management.,CloudOps Agent,container application platform,Create
57,Code to do the task..,SAP System Refresh,"Process of refreshing an SAP system to ensure it is up-to-date with the latest data and configurations, typically involving copying data from a production system to a test or development system.",DB Agent,SAP system,Refresh
58,Code to do the task..,Security Gateway,"Manage the security gateway by adding, changing, and deleting configurations or rules.",Network Agent,security gateway,Add|Change|Delete
59,Code to do the task..,Facility Network Implementation,"Designing and deploying network infrastructure for facilities, ensuring connectivity and communication between devices and systems.",Network Agent,network infrastructure,Create|Implement
60,Code to do the task..,Modify Application Server IIS Shared [FastTrack],Modifying the configuration and settings of the IIS shared application server to enhance performance and security.,DB Agent,IIS Application Server,Modify
61,Code to do the task..,Modify Linux Physical Server,"Perform modifications on a physical Linux server including hardware upgrades, configuration changes, and system optimizations.",DB Agent,Linux Server,Modify
62,Code to do the task..,New Windows Virtual Server VCN Only [FastTrack],Provisioning a new Windows Virtual Server in a Virtual Cloud Network (VCN) environment as part of the FastTrack program.,CloudOps Agent,"Windows Virtual Server, VCN",Create
63,Code to do the task..,Modify Database Hotel,Modifying the Hotel database in MSSQL using FastTrack.,DB Agent,MSSQL,Modify
64,Code to do the task..,New Backup and Restore [FastTrack],"This skill involves implementing and managing backup and restore processes efficiently using the FastTrack methodology, ensuring data integrity and availability.",DB Agent,database,Create|Restore
65,Code to do the task..,New Database Hotel - PostgreSQL [FastTrack],Creating a new PostgreSQL database for a hotel management system using FastTrack methodology.,DB Agent,PostgreSQL,Create
66,Code to do the task..,Remove Database Hotel - Oracle [FastTrack],This skill involves the removal of the Hotel database from the Oracle system using the FastTrack method.,DB Agent,Oracle Database,Delete
67,Code to do the task..,E-mail Gateway Configuration Management,"Managing the configuration of e-mail gateways including adding, changing, and deleting settings.",ITSM Agent,e-mail gateway,Add|Change|Delete
68,Code to do the task..,APM as a Service standard subscription,"Managing and providing Application Performance Monitoring (APM) services as a standard subscription, including new subscriptions and updates to existing ones.",CloudOps Agent,APM Service,Add|Update
69,Code to do the task..,Change Access for Client Application,Modifying the access permissions for a client application to ensure it can interact with a protected API resource server securely.,CloudOps Agent,API Resource Server,Change
70,Code to do the task..,Create a new WSS proxy,This skill involves setting up a new WebSocket Secure (WSS) proxy to facilitate secure communication between clients and servers over the WebSocket protocol.,Network Agent,WSS Proxy,Create
71,Code to do the task..,Directory Attribute Management,"Manage the attributes of directories including creating, changing, and removing attributes as needed.",DB Agent,directory,Create|Change|Remove
72,Code to do the task..,IBM MQ Queue Manager,"IBM MQ Queue Manager is a messaging middleware that facilitates communication between applications by sending messages through queues. It ensures reliable message delivery, supports various messaging patterns, and provides features like transaction management and message persistence.",DB Agent,IBM MQ,Create|Delete|Start|Stop|Restart
73,Code to do the task..,Limited Internet Breakout Vendor,"A vendor that provides limited internet breakout services, allowing organizations to manage their internet traffic efficiently while maintaining security and compliance.",Network Agent,internet breakout,Add|Delete|Create
74,Code to do the task..,AH JAVA JBOSS Dedicated [FastTrack],"A dedicated environment for Java applications using JBoss, optimized for fast deployment and performance.",CloudOps Agent,JBoss Application Server,Create
75,Code to do the task..,Remove Application Server IIS Dedicated [FastTrack],This skill involves the removal of a dedicated IIS application server as part of the FastTrack service.,ITSM Agent,Application Server IIS,Delete
76,Code to do the task..,VCOM/MQ Gateway,"A VCOM/MQ Gateway is a middleware solution that facilitates communication between different applications and systems using message queuing protocols. It enables reliable message delivery, decouples application components, and supports various messaging patterns.",CloudOps Agent,message queuing,Add|Create|Delete|Start|Stop|Restart
77,Code to do the task..,Change to Mail Routing,This skill involves modifying the routing of email messages to ensure they are directed to the correct mail servers or destinations based on specified rules or configurations.,ITSM Agent,mail server,Change
78,Code to do the task..,WAN Physical Change in Connectivity,"Managing and implementing physical changes in Wide Area Network (WAN) connectivity, including upgrades, replacements, and modifications to network infrastructure.",Network Agent,WAN infrastructure,Add|Delete|Modify
79,Code to do the task..,Consultant / Employee transfer,"Managing the transfer of consultants or employees within an organization, ensuring compliance with internal policies and external regulations.",ITSM Agent,employee management system,Add|Delete|Update
80,Code to do the task..,New IBM MQ Node [FastTrack],"This skill involves the setup and configuration of a new IBM MQ node, specifically tailored for FastTrack applications, ensuring efficient message queuing and processing.",DB Agent,IBM MQ,Create
81,Code to do the task..,Remove Container Application Platform Project [FastTrack],This skill involves the removal of the Container Application Platform Project named FastTrack.,CloudOps Agent,Container Application Platform,Delete
82,Code to do the task..,Remove Linux Physical Server,"This skill involves the process of removing a Linux physical server from the network or data center, ensuring that all data is securely wiped and the server is properly decommissioned.",ITSM Agent,Linux Physical Server,Delete
83,Code to do the task..,Remove Storage Data Files [FastTrack],"This skill involves the removal of storage data files in a FastTrack environment, ensuring that unnecessary data is cleared to optimize storage usage.",DB Agent,storage,Delete
84,Code to do the task..,Support for new application,Providing assistance and troubleshooting for a newly implemented application to ensure smooth operation and user satisfaction.,ITSM Agent,application,Add|Support|Troubleshoot
85,Code to do the task..,Application Infrastructure Architecture Review,"Reviewing the architecture of application infrastructure to ensure it meets performance, scalability, and security requirements.",CloudOps Agent,application infrastructure,Review
86,Code to do the task..,Database Instance DB2,"Management and administration of DB2 database instances, including configuration, performance tuning, and troubleshooting.",DB Agent,DB2 database,Create|Delete|Start|Stop|Restart
87,Code to do the task..,Modify Backup and Restore [Fastrack],"This skill involves modifying the backup and restore processes for the Fastrack system, ensuring data integrity and availability during operations.",DB Agent,Fastrack database,Modify
88,Code to do the task..,Modify Fileshare [FastTrack],This skill involves modifying the settings or configurations of a Fileshare service in the FastTrack environment.,ITSM Agent,Fileshare,Modify
89,Code to do the task..,New Egress Router [FastTrack],Implementation and configuration of a new egress router named FastTrack to manage outbound traffic efficiently.,Network Agent,router,Create
90,Code to do the task..,SAP Usage Type Upgrade,Upgrading the usage type in SAP systems to enhance functionality and performance.,DB Agent,SAP system,Upgrade
91,Code to do the task..,Standard Support - User Request Services - Computer equipment bulk delivery,Providing standard support for user requests related to the bulk delivery of computer equipment.,ITSM Agent,computer equipment,Add|Create
92,Code to do the task..,Telephony Bulk Request,"Handling bulk requests for telephony services, including provisioning and management of telephony resources.",ITSM Agent,telephony,Create|Delete|Update
93,Code to do the task..,Active Directory Server Management,"Manage the lifecycle of Active Directory servers including creation, modification, and removal.",ITSM Agent,Active Directory Server,Create|Change|Remove
94,Code to do the task..,Database Dedicated - PostgreSQL,"Management and optimization of dedicated PostgreSQL database instances, ensuring high availability, performance tuning, and security best practices.",DB Agent,PostgreSQL database,Manage|Optimize|Secure
95,Code to do the task..,Modify SAP resources,"This skill involves making changes to SAP resources, which may include adjusting configurations, updating user roles, or modifying data within the SAP system.",ITSM Agent,SAP,Modify
96,Code to do the task..,New Application Server IIS Shared [FastTrack],Setting up a new shared application server using Internet Information Services (IIS) for hosting web applications.,CloudOps Agent,IIS,Create
97,Code to do the task..,New Fileshare [FastTrack],Creating a new fileshare named FastTrack for file storage and sharing purposes.,DB Agent,fileshare,Create
98,Code to do the task..,New UNIX Virtual Server,Provisioning and configuring a new UNIX virtual server for various applications and services.,CloudOps Agent,virtual server,Create
99,Code to do the task..,Project Support (office hours),"Providing assistance and support for project-related tasks during office hours, ensuring smooth project execution and addressing any issues that arise.",ITSM Agent,project management tools,Add|Delete|Create|Update
100,Code to do the task..,Remove Application Server IIS Shared [FastTrack],"This action involves the removal of the Application Server IIS Shared service, which is part of the FastTrack program.",ITSM Agent,Application Server IIS Shared,Delete
101,Code to do the task..,Remove VCOM node [FastTrack],This action involves the deletion of a specific VCOM node identified as FastTrack from the network.,Network Agent,VCOM node,Delete
102,Code to do the task..,SAP Application Instance,Management and configuration of SAP application instances for enterprise resource planning (ERP) and business process management.,CloudOps Agent,SAP application,Create|Delete|Start|Stop|Restart
103,Code to do the task..,SAP System Installation,"Installation and configuration of SAP systems including application servers, database servers, and necessary components for a fully functional SAP environment.",CloudOps Agent,SAP system,Install|Configure
104,Code to do the task..,Set up IP telephony solution on new site (PT),"Implementing an IP telephony system for a new site, ensuring proper configuration and integration with existing infrastructure.",Network Agent,IP telephony system,Create
105,Code to do the task..,WAN Install Connectivity Premium,"This skill involves the installation and configuration of Wide Area Network (WAN) connectivity solutions, ensuring optimal performance and reliability for enterprise networks.",Network Agent,WAN connectivity solutions,Install|Configure
106,Code to do the task..,Extra Support for Specific Period,Providing additional assistance and resources for a defined timeframe to ensure smooth operations and address any urgent needs.,ITSM Agent,support services,Add
107,Code to do the task..,IBMi Capacity change CPW (CPU power),"This skill involves managing and adjusting the CPU power (CPW) capacity on IBMi systems, ensuring optimal performance and resource allocation.",DB Agent,IBMi system,Change
108,Code to do the task..,IMACD Facility Network devices,"Management of Installation, Move, Add, Change, and Deletion (IMACD) processes for network devices within a facility.",Network Agent,network devices,Add|Move|Change|Delete
109,Code to do the task..,Remove AH JAVA WAS Shared [FastTrack],This action involves the removal of the AH JAVA WAS Shared service in the FastTrack environment.,DB Agent,AH JAVA WAS Shared,Delete
110,Code to do the task..,Remove Backup and Restore [FastTrack],This skill involves the removal of backup and restore functionalities in the FastTrack system.,ITSM Agent,FastTrack,Delete
111,Code to do the task..,AOM Runtime Extra Hours Support,Providing additional support hours for AOM Runtime services.,ITSM Agent,AOM Runtime,Add
112,Code to do the task..,Change API Resource Server Protection,Modifying the security settings and access controls for an API resource server to enhance protection against unauthorized access and potential threats.,CloudOps Agent,API Resource Server,Change
113,Code to do the task..,Modify Application Storage,"This skill involves making changes to the storage configuration of the FastTrack application, which may include resizing, reconfiguring, or optimizing storage settings to enhance performance and capacity.",DB Agent,Application Storage,Modify
114,Code to do the task..,MPS Standard Service Implementation,"Implementing Managed Print Services (MPS) standards to optimize printing processes, reduce costs, and improve efficiency in organizations.",ITSM Agent,printing services,Implement|Optimize
115,Code to do the task..,New AH JAVA WAS Shared [FastTrack],"This skill involves the management and deployment of Java applications on WebSphere Application Server (WAS) in a shared environment, focusing on fast-track methodologies for efficient delivery.",CloudOps Agent,WebSphere Application Server,Create|Deploy
116,Code to do the task..,Port in / Port out Personal Phone Number,"Managing the process of transferring a personal phone number from one carrier to another, including both porting in and porting out.",ITSM Agent,telecommunication,Add|Delete|Create
117,Code to do the task..,Remove a WSS Application,This skill involves the process of removing a Windows SharePoint Services (WSS) application from a server or environment.,ITSM Agent,WSS Application,Delete
118,Code to do the task..,Remove Access for Client Application to Protected API Resource Server,"This skill involves revoking access permissions for a client application to a secured API resource server, ensuring that the application can no longer interact with the protected resources.",ITSM Agent,API Resource Server,Delete
119,Code to do the task..,Remove UNIX Virtual Server,This skill involves the process of removing a UNIX virtual server from the infrastructure.,CloudOps Agent,UNIX Virtual Server,Delete
120,Code to do the task..,VMS Server Capacity Management,Managing and optimizing the capacity of Virtual Machine Servers (VMS) to ensure efficient resource utilization and performance.,CloudOps Agent,VMS server,Monitor|Optimize|Scale
121,Code to do the task..,Company Intranet Management,"Managing the configuration items (CIs) related to the company intranet, including adding, changing, or deleting CIs as needed.",ITSM Agent,intranet,Add|Change|Delete
122,Code to do the task..,APM as a Service Standard - Consultation,"Consultation services for Application Performance Management (APM) as a Service, focusing on best practices, implementation strategies, and performance optimization.",CloudOps Agent,APM,Consult
123,Code to do the task..,Application Monitor,"A tool or service that provides monitoring capabilities for applications, ensuring their performance, availability, and reliability.",DB Agent,application,Monitor
124,Code to do the task..,Contact Center New Agent,"A new agent in a contact center responsible for handling customer inquiries, providing support, and ensuring customer satisfaction through effective communication and problem-solving skills.",ITSM Agent,contact center,Add
125,Code to do the task..,New Application Server IIS Dedicated [FastTrack],"Setting up a new dedicated application server using Internet Information Services (IIS) for hosting applications, ensuring optimal performance and security.",CloudOps Agent,IIS Server,Create
126,Code to do the task..,One-time set up of a new site,"This skill involves the initial configuration and deployment of a new website, including setting up hosting, domain registration, and basic site structure.",CloudOps Agent,website,Create
127,Code to do the task..,Meeting Room/Non-Personal Desk Support Flow Setup,"Setting up a flow for requesting meeting rooms or non-personal desk support, including the process for booking, managing availability, and handling requests.",ITSM Agent,"meeting room booking system, desk management system",Create|Manage|Delete
128,Code to do the task..,Standard Support - Meeting Room Request,"A support flow setup for requesting meeting rooms or non-personal desks, ensuring efficient management and allocation of resources.",ITSM Agent,meeting room management system,Create|Delete|Update
129,Code to do the task..,WAN Install Temporary WAN Connection,"Setting up a temporary Wide Area Network (WAN) connection for short-term use, ensuring connectivity across multiple locations.",Network Agent,WAN,Create
130,Code to do the task..,Add Printer to Affiliate Printing Service,This skill involves adding an additional printer to the Affiliate printing service to enhance printing capabilities.,ITSM Agent,Affiliate printing service,Add
131,Code to do the task..,Terminate APM as a Service Standard Subscription,This skill involves the process of terminating a subscription for APM (Application Performance Monitoring) as a Service Standard.,ITSM Agent,APM as a Service,Delete
132,Code to do the task..,Application Server Instance WAS,Management and configuration of WebSphere Application Server instances for deploying and running applications.,CloudOps Agent,WebSphere Application Server,Create|Start|Stop|Restart|Delete
133,Code to do the task..,Call Pick-Up Group Configuration,Configuring call pick-up groups to allow users to answer calls ringing on other extensions within the group.,ITSM Agent,telephony system,Create|Delete|Modify
134,Code to do the task..,Contact Center Service Change,"Modifications to the contact center services including changes to menu options, call types, and skill groups.",ITSM Agent,Contact Center,Add|Delete|Update
135,Code to do the task..,Active Directory Domain Management,"Manage the creation, modification, and removal of Active Directory domains.",ITSM Agent,Active Directory,Create|Change|Remove
136,Code to do the task..,Create Virtual Host for SSO/API application,"Setting up a virtual host to manage Single Sign-On (SSO) and API applications, ensuring proper routing and configuration for seamless access and integration.",Network Agent,web server,Create
137,Code to do the task..,Create/Renew/Revoke SSL External Certificate,"This skill involves managing SSL external certificates, including creating new certificates, renewing existing ones, and revoking certificates that are no longer needed or have been compromised.",CloudOps Agent,SSL Certificate Management,Create|Renew|Revoke
138,Code to do the task..,Database Upgrade,"Performing a database upgrade outside of the normal planning cycle, which may involve unexpected changes or enhancements to the database system.",DB Agent,database,Upgrade
139,Code to do the task..,DB2 Connect Installation,"Installation process for IBM DB2 Connect, which allows applications to connect to DB2 databases.",DB Agent,DB2 Connect,Install
140,Code to do the task..,FactoryPlace Standard Client,"A client application designed for managing and interacting with FactoryPlace systems, enabling users to perform various operations related to factory management and automation.",ITSM Agent,FactoryPlace system,Add|Delete|Create|Update
141,Code to do the task..,HANA Server,HANA Server is an in-memory database and application development platform that allows for real-time data processing and analytics.,DB Agent,HANA database,Add|Delete|Create|Start|Stop|Restart
142,Code to do the task..,IBM Integration Bus,"IBM Integration Bus (IIB) is a robust integration tool that enables the connection of applications and services across various platforms. It supports a wide range of protocols and data formats, allowing for seamless data flow and transformation between disparate systems.",CloudOps Agent,integration bus,Create|Delete|Start|Stop|Restart
143,Code to do the task..,Mainframe MIPS VM,"Expertise in managing and optimizing MIPS (Million Instructions Per Second) on mainframe virtual machines, ensuring efficient resource allocation and performance tuning.",DB Agent,mainframe,Manage|Optimize
144,Code to do the task..,Modify Object Storage [FastTrack],"This skill involves making changes to the Object Storage service in a FastTrack environment, which may include updating configurations, managing data, and optimizing performance.",CloudOps Agent,Object Storage,Modify
145,Code to do the task..,New Container Registry Project [FastTrack],This project involves the setup and management of a new container registry to streamline the storage and distribution of container images for development and production environments.,CloudOps Agent,container registry,Create|Manage
146,Code to do the task..,Qlikview Platform Service,"A service that provides data visualization and business intelligence capabilities through the Qlikview platform, enabling users to create interactive reports and dashboards.",DB Agent,Qlikview,Create|Delete|Start|Stop|Restart
147,Code to do the task..,Repository Management,"Managing repositories including moving, renaming, restoring, and deleting them.",DB Agent,repository,Move|Rename|Restore|Delete
148,Code to do the task..,Roll out Telephony to new country (FT),"Implementing telephony services in a new country, ensuring compliance with local regulations and integration with existing systems.",ITSM Agent,telephony,Create
149,Code to do the task..,Set up Dect telephony solution,Implementing a Dect telephony solution for a new site to enable wireless communication.,Network Agent,telephony,Create
150,Code to do the task..,Telephony Bulk Request,"Handling bulk requests for telephony services, including provisioning and management of telephony resources.",ITSM Agent,telephony,Add|Delete|Create|Manage
151,Code to do the task..,Upgrade of application,"Process of updating an application to a newer version to improve functionality, security, and performance.",DB Agent,application,Upgrade
152,Code to do the task..,AOM Runtime Extra Hours Support,Providing additional support hours for AOM Runtime services.,ITSM Agent,AOM Runtime,Add
153,Code to do the task..,Application Infrastructure Architecture Design,"Designing the architecture of application infrastructure to ensure scalability, reliability, and performance.",CloudOps Agent,application infrastructure,Design
154,Code to do the task..,Add FOLLOW ME PRINT service on additional multifunction printer,"This skill involves adding the FOLLOW ME PRINT service to an additional multifunction printer, allowing users to print from any device and retrieve their documents from any printer within the network.",ITSM Agent,multifunction printer,Add
155,Code to do the task..,Implement FOLLOW ME PRINT service,Setting up and configuring the Follow Me Print service for a new site to enable users to print from any device to any printer within the network.,ITSM Agent,printing service,Create
156,Code to do the task..,HMG Instance,Management and operation of HMG (High-Performance Management Group) instances for optimal performance and resource allocation.,CloudOps Agent,HMG Instance,Create|Manage|Monitor
157,Code to do the task..,Knowledge Transfer for Runtime Operation,"This skill involves the transfer of knowledge and best practices related to the operation and management of runtime environments, ensuring that teams are equipped with the necessary information to effectively manage and troubleshoot runtime issues.",CloudOps Agent,runtime environment,Transfer
158,Code to do the task..,Least Access Group,"Manage user permissions and access levels to ensure minimal access rights are granted to users, enhancing security and compliance.",ITSM Agent,user permissions,Add|Change|Delete
159,Code to do the task..,Limited Internet Breakout Provider Agnostic,"Ability to manage and optimize internet breakout solutions that are not tied to a specific provider, ensuring flexibility and efficiency in network management.",Network Agent,internet breakout,Manage|Optimize
160,Code to do the task..,Modify AH JAVA JBOSS Dedicated [FastTrack],Modifying the configuration and settings of the AH JAVA JBOSS Dedicated server to optimize performance and functionality.,CloudOps Agent,JBOSS server,Modify
161,Code to do the task..,Modify AH JAVA WAS Shared [FastTrack],Modifying the configuration or settings of the AH JAVA WAS Shared environment in a FastTrack context.,CloudOps Agent,Java Application Server,Modify
162,Code to do the task..,Modify Container Application Platform Project [FastTrack],"This skill involves making changes to the Container Application Platform Project, specifically the FastTrack initiative, to enhance its functionality or address specific requirements.",CloudOps Agent,Container Application Platform,Modify
163,Code to do the task..,Modify Mainframe MIPS Base [FastTrack],"This skill involves modifying the MIPS (Microprocessor without Interlocked Pipeline Stages) base in a mainframe environment, focusing on performance optimization and system enhancements.",DB Agent,mainframe,Modify
164,Code to do the task..,MSBI Platform Service - Database (datamart),"Expertise in managing and utilizing the MSBI platform for data warehousing and business intelligence solutions, specifically focusing on datamarts.",DB Agent,datamart,Create|Manage|Query
