skill_id,skill_content,skill_title,skill_description,agents,services,actions
31,None,Patch Version 61 on the Prod Environment,Applying Patch Version 61 to the production environment for the JDA Demand application.,ITSM Agent,JDA Demand,Apply
32,None,PC*MILER License Installation,Installation of PC*MILER license in the production environment for JDA Transportation Manager.,ITSM Agent,PC*MILER,Install
33,None,Delete Jobs from AM BY SaaS TEST and PROD,Request to delete specific jobs from the AM BY SaaS TEST and PROD environments under the Control-M category.,ITSM Agent,Control-M,Delete
34,None,Increase Disk Space,Increase the disk space of an additional 500GB on F: Drive for GoSoft Batch Server PRBB850110001.,DB Agent,F: Drive,Add
35,None,Power Int | Deployment of new Assortment features,"This skill involves the deployment of new assortment features within the Intactix application, focusing on enhancing category management and assortment planning.",Application Agent,Intactix,Deploy
36,None,PVH_APAC_DB_Refresh_from_TEST_PROD_9thMar2024,Database instance refresh from test to production environment for Oracle.,DB Agent,Oracle Database,Refresh
37,None,SentinelOne Upgrade,Upgrade of SentinelOne antivirus software on Linux and Windows servers in a non-production environment under the Management of Change (MOM) process.,Security Agent,SentinelOne,Upgrade
38,None,SentinelOne Upgrade,Upgrade of SentinelOne antivirus software on Linux and Windows servers in the production environment under the Management of Change (MOM) process.,Security Agent,SentinelOne,Upgrade
39,None,SentinelOne Upgrade,Upgrading SentinelOne on Linux servers in a non-production environment to enhance security measures.,Security Agent,Linux servers,Upgrade
40,None,SentinelOne Upgrade,Upgrading SentinelOne on Linux servers in the production environment to enhance security measures.,Security Agent,Linux servers,Upgrade
41,None,SentinelOne Upgrade,Upgrading SentinelOne on Windows servers in a non-production environment to enhance security measures.,Security Agent,Windows servers,Upgrade
42,None,SentinelOne Upgrade,Upgrading SentinelOne on Windows servers in the production environment to enhance security measures.,Security Agent,Windows servers,Upgrade
43,None,SSO | EUS2 Non Prod | PingFederate SSO Memory increase,Increase memory allocation for PingFederate SSO in the EUS2 Non-Production environment to enhance performance and reliability.,Infrastructure Services,PingFederate SSO,Increase
44,None,Update Control-M Template in Production,Updating the Control-M template in the production environment for Suomen Osuuskauppojen Keskuskunta (SOK).,ITSM Agent,Control-M,Update
45,None,Renewal of HTC's AS2 production certificate,"Notice regarding the renewal of HTC's AS2 production certificate scheduled for 22nd July, 2024.",ITSM Agent,MFT,Renew
46,None,Modifications in Control-M Job in Test Environment,This skill involves making necessary modifications to Control-M jobs within a test environment to ensure proper functionality and performance before deployment to production.,ITSM Agent,Control-M,Modify
47,None,Increase v$parameter,Request to increase the v$parameter value from 1000 to 2000 for the KCC production server in the APAC region.,DB Agent,server,Add
48,None,Increase v$parameter,Request to increase the v$parameter value from 1000 to 2000 for the KCC production server in the APAC region.,DB Agent,server,Add
49,None,GO-LIVE Rollout for JDA Warehouse Management,Implementation of the GO-LIVE rollout for the JDA Warehouse Management System in NP2 and then in the production environment.,ITSM Agent,JDA Warehouse Management System,Install|Rollout
50,None,Altria Production GoLive - Rollout Installation & DB Backups,"Implementation and support for the Altria Production GoLive project, focusing on the rollout installation and database backups for the JDA Warehouse Management System.",DB Agent,database,Create|Backup
51,None,Install Rollout to Chef PROD and ARCHIVE,Install Rollout to Chef PROD and ARCHIVE on Wednesday February 7th at 7:30 am CT with approved downtime from 7:30 AM CT to 8:00 AM CT.,ITSM Agent,Chef,Install
52,None,Install rollout CPS-WMS-0055-GLB-001 in PRD and ARCH,This task involves the installation rollout of the CPS-WMS-0055-GLB-001 application in the Production (PRD) and Archive (ARCH) environments.,ITSM Agent,WMS-Discrete,Install
53,None,FERRARA_MGP0112 rollout to Prod/Arc,Implementation and deployment of FERRARA_MGP0112 in production and archive environments for JDA Warehouse Management System.,ITSM Agent,JDA Warehouse Management System,Create
54,None,SSL Production Rollout,"Implementation and management of SSL production and archive rollouts for OSG-Client applications, specifically focusing on JDA Warehouse Management System (WMS) for discrete operations.",ITSM Agent,SSL Production/Archive Rollout,Create|Manage
55,None,Install RO in Production,Installation of RO (Release Order) in the production environment for JDA Warehouse Management System.,ITSM Agent,JDA Warehouse Management,Install
56,None,Production Roll Out Needed,"Request for production roll out of JDA Warehouse Management System (WMS) for discrete applications on February 18, 2024.",ITSM Agent,JDA Warehouse Management System,Create
57,None,February Pilot Deployment for 3302,Pilot deployment of application WMS-Discrete for version 3302 on February 21.,ITSM Agent,JDA Warehouse Management,Deploy
58,None,Migrate rollout to CAT production,Migration of the rollout process to CAT production for JDA Warehouse Management System in the WMS-Discrete application category.,Application Agent,JDA Warehouse Management,Migrate
59,None,All Site Release - February - 02/27/2024 - Day 1,"This skill involves the management and release of applications related to warehouse management systems, specifically focusing on JDA Warehouse Management for the specified date.",DB Agent,JDA Warehouse Management,Create
60,None,Request to install HFR-14798 in DFS Prod,"This request involves the installation of a specific application (HFR-14798) in the DFS Production environment, which is categorized under WMS-Discrete and specifically relates to JDA Warehouse Management.",ITSM Agent,Application,Install
61,None,Install CCP fix for work order delivered quantity in PR4,This task involves installing a CCP fix to address issues related to the delivered quantity of work orders in the PR4 system.,Application Agent,JDA Warehouse Management,Install
62,None,Request for rollout installation on PR1,This request involves the installation of the JDA Warehouse Management System (WMS) for discrete applications on the PR1 environment.,ITSM Agent,JDA Warehouse Management System,Install
63,None,CHEDRAUI WMS Rollout Installation,"Installation of the JDA Warehouse Management System (WMS) for CHEDRAUI, focusing on the rollout phase in a production environment.",ITSM Agent,WMS,Install
64,None,Update PR1 to version .30,Updating the Pegasus/WMS/PR1 application to version .30 for improved functionality and performance.,Application Agent,Pegasus/WMS/PR1,Update
65,None,Deploy Rollouts to WM PROD,Deploy 5 rollouts to WM PROD (PT/ET/CT) on Sunday March 24th from 01:00 - 03:00 am CDT (11:30 - 13:30 IST) for JDA Warehouse Management.,ITSM Agent,WMS-Discrete,Deploy
66,None,School Specialty Production Rollout,Implementation and rollout of School Specialty production processes using JDA Warehouse Management System (WMS) for discrete applications.,ITSM Agent,JDA Warehouse Management System,Create|Deploy
67,None,Deploy RO-CJ-WM-INC0301549.03 to all WM Prod,"Deploying the specified release to all WM Production environments including PT, ET, and CT.",ITSM Agent,JDA Warehouse Management,Deploy
68,None,Install S4 Rollout to PROD PR1 and PR2,Install S4 rollout to PROD PR1 (AFC) and related rollouts to PR2 (Canada) for the Hershey project.,DB Agent,S4,Install
69,None,Deployment of Bug fix SANDVIK-2020.1.2.42.11_WMD_APP_SERVER-win32-x86,Deployment of a bug fix for the JDA Warehouse Management System in the Chicago production environment.,ITSM Agent,JDA Warehouse Management System,Deploy
70,None,Rollout installation for JDA Warehouse Management,"Installation and rollout of JDA Warehouse Management System (WMS) for discrete applications in various locations including Pepco, Gyal, Romania, and Rawa.",ITSM Agent,JDA Warehouse Management System,Install|Rollout
71,None,Hotfix deployment - PROD,Deploying a hotfix into the production environment for the JDA Warehouse Management System (WMS-Discrete).,ITSM Agent,JDA Warehouse Management,Deploy
72,None,Deploy rollout ALX-003-CPILLR-16-03 to CAT production environments,Deploying the ALX-003-CPILLR-16-03 application to CAT production environments as part of the JDA Warehouse Management System.,Application Agent,CAT production environments,Deploy
73,None,App servers reboot request,"Request to reboot application servers for CBC PR LLC in the production environment, specifically for Linux servers.",DB Agent,app servers,restart
74,None,Deploy BY_VALIDATE_JOBS_AND_TASKS_V2,Rollout of BY_VALIDATE_JOBS_AND_TASKS_V2 for AAFES in the WMS-Discrete application category.,ITSM Agent,WMS,Deploy
75,None,Install Rollout for OSGMonitor and OSGTools into Production/Archive SSL,"This skill involves the installation and rollout of OSGMonitor and OSGTools applications into production and archive SSL environments, specifically within the context of JDA Warehouse Management systems.",Application Agent,OSGMonitor|OSGTools,Install|Rollout
76,None,Install HFR 14932,Request to install HFR 14932 in Riyadh and KAEC production environments for WMS-Discrete application.,ITSM Agent,HFR 14932,Install
77,None,Upgrade PR1 & PR3 to .44 version,Upgrade the PR1 and PR3 applications to version .44 in the JDA Warehouse Management System.,Application Agent,JDA Warehouse Management,Upgrade
78,None,Install HUB-ROLLOUT-038 in Production,"This task involves the installation of HUB-ROLLOUT-038 in a production environment, specifically for the JDA Warehouse Management System (WMS) in the discrete category.",ITSM Agent,JDA Warehouse Management System,Install
79,None,SSO All Site Release - Day 4 - 06/13/2024,"This skill involves the release and management of the SSO (Single Sign-On) for all sites, specifically focusing on the JDA Warehouse Management System for discrete applications.",Application Agent,JDA Warehouse Management System,Release
80,None,Database Instance Change Promotion,"Promoting a database property change for Advance Stores Company, Inc. related to Oracle database instance.",DB Agent,Oracle Database,Create
81,None,Install fix MMSA-2021.1.0.10.374/378 to PROD and PRA1 Environment,Scheduled downtime for the installation of fix MMSA-2021.1.0.10.374/378 in the PROD and PRA1 environments on 07/06/2024 at 11:30pm CET.,ITSM Agent,JDA Warehouse Management,Install
82,None,Install rollout to PROD (PR1 and PR2),"This skill involves the installation and rollout of the JDA Warehouse Management System (WMS) for discrete applications to the production environment, specifically for PR1 and PR2.",ITSM Agent,JDA Warehouse Management System,Install|Rollout
83,None,Installation for WMS archiving Issue in Production for CCSB and WAGGA (TEYS-207),This task involves the installation and configuration of the Warehouse Management System (WMS) to address archiving issues in the production environment for CCSB and WAGGA.,Application Agent,WMS-Discrete,Install|Configure
84,None,Readerlink WMS Rollout Install for Prod,"Installation and rollout of Readerlink Warehouse Management System (WMS) for production environments, specifically for Marion.",Application Agent,WMS,Install|Rollout
85,None,Synergy - HBG Production migration | Synergy - ALT Production migration,Migration of Synergy applications for HBG and ALT production environments in the context of JDA Warehouse Management System.,Application Agent,Synergy applications,Migrate
86,None,Rollout needs to BY WMS Prod Environment,"This task involves the rollout of the Warehouse Management System (WMS) in the production environment, specifically for JDA Warehouse Management.",ITSM Agent,WMS Prod Environment,Create
87,None,JDA Warehouse Management,Managing and optimizing warehouse operations using JDA Warehouse Management System (WMS) for M and M Direct Ltd.,ITSM Agent,Warehouse Management System,Activity|Rollout
88,None,M and M Direct Ltd. Warehouse Management,Activity/Rollout for JDA Warehouse Management System (WMS) - Discrete operations.,DB Agent,Warehouse Management System,Activity|Rollout
89,None,INSTALLATION OF ROLLOUTS,Installation of rollouts for JDA Warehouse Management System (WMS-Discrete) scheduled for Wednesday 26th June from 14:00 PM CET.,ITSM Agent,JDA Warehouse Management,Install
90,None,Code Review and Installation in PROD2,Performing code review and installing the application in the production environment for JDA Warehouse Management System.,Application Agent,WMS-Discrete,Review|Install
91,None,Rollout installation,"Installation of JDA Warehouse Management system for Pepco in Gyal, Rawa, Romania, focusing on production and archive inbound audit with multiple EANs.",DB Agent,JDA Warehouse Management,Install
92,None,ARCADIA WMS Rollout Install,"Implementation and installation of ARCADIA Warehouse Management System (WMS) for discrete operations, specifically for the rollout phase.",ITSM Agent,Warehouse Management System,Install
93,None,Rollout installation for JDA Warehouse Management,This skill involves the rollout installation of the JDA Warehouse Management System (WMS) for discrete applications in the Arcadia production environment.,ITSM Agent,JDA Warehouse Management System,Install
94,None,Install hotfix HF143318 in BY WMS Cloud Production,Please install hotfix HF143318 in BY WMS Cloud Production during downtime.,ITSM Agent,WMS-Discrete,Install
95,None,Install hotfix HF143318 in BY WMS Cloud Production,Please install hotfix HF143318 in BY WMS Cloud Production during downtime.,ITSM Agent,WMS-Discrete,Install
96,None,Upgrade PR4 and PR6 for Mars Inc.,"Upgrading the WMS (Warehouse Management System) for Mars Inc. specifically for the GTLRDC category, focusing on JDA Warehouse Management applications.",ITSM Agent,WMS,Upgrade
97,None,Roll Deployment,Gift Message Reprint in JDA Warehouse Management System,Application Agent,WMS-Discrete,Create
98,None,WMS XDT All site release Day 1,"Release of WMS XDT for all sites on July 23, 2024, under the JDA Warehouse Management category.",Application Agent,WMS-Discrete,Release
99,None,Install package in Production environment for Disabling the SHP input field,This task involves installing a package in the production environment specifically aimed at disabling the SHP input field within the JDA Warehouse Management System.,Application Agent,JDA Warehouse Management,Install
